n_ocupacao,media_DP,var_DP,DP_DP
0,5.051788460522764,0.22938679945132012,0.4789434198851887
10,13.549171510416084,1.5459242034467273,1.2433520030332228
20,18.32203821113997,3.1521789320127023,1.7754376733675283
30,21.888076374970613,4.461014202331435,2.1121113139064036
40,24.805554042122587,5.489459433018271,2.342959545749408
50,27.27190548775984,6.594139414942995,2.5679056475935784
60,29.451007452478088,7.502852337271597,2.7391335011772604
70,31.3434479725027,8.918999114154195,2.986469339228882
80,33.045423672363896,9.752844712259202,3.1229544845000867
90,34.53190776184236,10.485607254798971,3.2381487388319536
100,35.85054200098757,11.180265494153133,3.3436904004637054
