n_ocupacao,media_MAE,var_MAE,DP_MAE
0,4.027069977935704,0.16306370661406555,0.4038114740990721
10,7.878011086099822,0.625072627366157,0.7906153472872615
20,11.172422644330362,1.269822866159487,1.1268641737847056
30,14.022560125658309,1.988267268111541,1.4100593136856125
40,16.496264205250544,2.7328190403300083,1.6531240244851588
50,18.64091831400265,3.482398175864851,1.8661184785176024
60,20.54695317690494,4.217280038995635,2.0536017235568425
70,22.220332636599302,4.9525990616035225,2.2254435651356164
80,23.724008319438397,5.636961056989068,2.37422851827474
90,25.04253025491166,6.255434012190121,2.501086566312754
100,26.203974134497557,6.856880686813035,2.618564623379197
